fastsurfer_step_id,fastsurfer_step,fastsurfer_reference,fastsurfer_artifact,freesurfer_match,freesurfer_reference,freesurfer_artifact,mapping_type,deep_research_synthesis,medical_imaging_note,qa_validation_note,computer_vision_note,data_engineering_note,data_science_note,statistical_note,fastsurfer_function_calls,fastsurfer_module_paths,fastsurfer_function_signatures,fastsurfer_input_requirements,freesurfer_function_calls,freesurfer_input_requirements,comparison_unit,primary_metric,secondary_metrics,space_harmonization,expected_failure_modes,evaluation_priority,caveat
1,"Checkpoint and per-plane configuration setup","FastSurfer/FastSurferCNN/run_prediction.py:603-649","Checkpoint URLs, axial/coronal/sagittal configs, Inference objects","Atlas and transform resource setup before volumetric labeling","freesurfer/scripts/recon-all:2671-3052","${GCADIR}/$GCA, talairach.lta, talairach.m3z","operational analogue","Both pipelines resolve anatomical priors before subject-level segmentation, but FastSurfer loads learned CNN weights while FreeSurfer uses installed generative atlas resources.","Both are structural T1 MRI segmentation pipelines that depend on stable adult neuroanatomical priors.","Validate checkpoint or atlas presence before batch processing because failures here invalidate every downstream row.","This is where the discriminative prior is instantiated for FastSurfer.","This is a dependency-resolution stage rather than an image-transformation stage.","The prior shifts from a hand-crafted generative atlas to supervised parameters learned from labeled datasets.","There is no subject-level uncertainty yet; failures here are deterministic setup errors.","set_up_cfgs(cfg_file), args2cfg(...), get_checkpoints(ckpt_ax,ckpt_cor,ckpt_sag,urls), Inference(...), du.read_classes_from_lut(lut)","FastSurfer/FastSurferCNN/run_prediction.py:set_up_cfgs,args2cfg; FastSurfer/FastSurferCNN/utils/checkpoint.py:get_checkpoints,load_checkpoint_config_defaults; FastSurfer/FastSurferCNN/inference.py:Inference.__init__","set_up_cfgs(cfg_file)->CfgNode; get_checkpoints(ckpt_ax,ckpt_cor,ckpt_sag,urls)->ensure checkpoints; Inference(cfg,ckpt,device,lut)->Inference instance","cfg YAML (yacs CfgNode); checkpoint files (.pth/.pt) or URL; LUT text/csv (FreeSurferColorLUT)","N/A (uses installed atlas resources under ${GCADIR})","GCA atlas (.gca), LTA transform (.lta), m3d files; atlas directory ${GCADIR}","Resource bundle (checkpoints, configs, LUTs, atlases, transforms)","Setup success rate","Checksum or version parity; load latency; missing dependency count","Compare normalized resource identifiers, hashes, and version strings; no image-space alignment required","Missing checkpoint; stale atlas; corrupted download; LUT-version drift; device-incompatible weights","P1","FreeSurfer does not have an automatic checkpoint-download analogue in standard recon-all."
2,"Conform input image and save conformed orig","FastSurfer/FastSurferCNN/run_prediction.py:295-336","Conformed image at conf_name; optional copy to mri/orig/001.mgz","Import raw average and conform to canonical orig.mgz","freesurfer/scripts/recon-all:1546-1576","mri/orig.mgz","exact analogue","This is the cleanest one-to-one mapping between the two pipelines.","Conformation standardizes voxel geometry before anatomy is interpreted, which is critical for reproducible morphometry.","Check voxel size, orientation, data type, and field of view after conformation; regressions here propagate everywhere.","Both pipelines normalize spatial sampling before any anatomical classifier runs.","This is a schema-normalization step for image geometry and file placement.","It reduces nuisance variance from acquisition geometry and makes downstream models or atlases comparable.","It changes the support of the data but not the intended anatomical labels; interpolation effects are a known bias source.","RunModelOnData.conform_and_save_orig -> du.load_image(subject.orig_name) -> conform(...) -> async_save_img(conf_name,...); du.save_image(header,affine,img_array,save_as,dtype)","FastSurfer/FastSurferCNN/run_prediction.py:RunModelOnData.conform_and_save_orig; FastSurfer/FastSurferCNN/data_loader/conform.py:conform,is_conform; FastSurfer/FastSurferCNN/data_loader/data_utils.py:load_image,save_image","conform_and_save_orig(subject)->(nibabelImage,np.ndarray); du.load_image(file)->(nibabelImage,np.ndarray); conform(nibabelImage,order,vox_size,orientation,img_size)->nibabelImage; save_image(header,affine,img_array,save_as,dtype)->None","Input: T1-weighted MRI (mgz, nii, nii.gz) readable by nibabel; single-frame 3D; conform params: vox_size (float|'min'), orientation ('lia'|'native'), img_size bool; outputs a conformed nibabel image and numpy array","mri_convert $rawavg $origvol [--conform|--conform_min|--cw256|--conform-dc]","Input: rawavg.mgz (T1 average); output: orig.mgz conformed to FreeSurfer standards (typically 1mm isotropic, default 256^3 unless -cw256 used)","Conformed structural volume","Voxel grid parity","Affine delta; intensity correlation; header field parity; runtime","Resample both outputs to a common 1 mm isotropic reference grid and compare voxel data separately from affine and header metadata","Interpolation mismatch; crop or pad differences; orientation drift; intensity scaling discrepancy","P0","FastSurfer can keep native orientation or field-of-view settings depending on flags, whereas recon-all defaults to a canonical conform."
3,"Reorient native data to soft LIA for inference","FastSurfer/FastSurferCNN/run_prediction.py:368-374","orig_in_lia and reordered voxel spacing","Implicit canonical orientation handling after recon-all conform","freesurfer/scripts/recon-all:1546-1576","orig.mgz in canonical conformed space","operational analogue","FastSurfer makes this axis handling explicit in code, while FreeSurfer largely hides it inside earlier conform/import conventions.","Consistent orientation is essential when left-right neuroanatomical assignments are part of the label set.","Add left-right sanity checks on known asymmetric structures when modifying this area.","FastSurfer prepares a network-friendly tensor orientation instead of relying on later atlas transforms.","This is an internal representation change that should remain lossless for labels after inverse mapping.","It isolates coordinate-system nuisance factors from the classifier itself.","Orientation transforms are deterministic; the statistical risk is systematic hemisphere inversion rather than random noise.","Reorientation.from_target_orientation(affine,'soft LIA',shape,zoom) -> native_to_lia; native_to_lia(orig_data, order=1); native_to_lia.reorder_axes(_zoom)","FastSurfer/FastSurferCNN/data_loader/conform.py:Reorientation","Reorientation.from_target_orientation(affine,target_orientation,shape,zoom)->callable; callable(data,order)->reoriented_data; reorder_axes(zoom)->reordered_zoom","orig_data numpy ndarray 3D; affine 4x4 nibabel matrix; zoom tuple/list floats; result expected in soft-LIA orientation for network","mri_convert/mri_vol2vol used by recon-all to set orientation (mri_convert --conform)","orig.mgz header used; mri_convert accepts nifti/mgz and outputs conform orientation; ensure header affine correct","Reoriented inference volume","Orientation transform correctness","Shape parity; reordered zoom parity; left-right landmark consistency","Convert both outputs to canonical orientation descriptors and compare voxel-to-world transforms before any label metric","Axis permutation bug; hemisphere flip; off-by-one transpose; stale zoom reorder","P0","There is no distinct standalone FreeSurfer command corresponding only to this reorientation step."
4,"Run three-plane CNN inference with logit-space view aggregation","FastSurfer/FastSurferCNN/run_prediction.py:375-387","Aggregated class-probability tensor over 79 classes","EM registration, canonical intensity normalization, non-linear atlas registration before labeling","freesurfer/scripts/recon-all:2671-2820","talairach.lta, norm.mgz, talairach.m3z","learned replacement","This is the main substitution: FastSurfer collapses several atlas-driven FreeSurfer stages into one learned inference block.","In medical-imaging terms, FastSurfer replaces iterative atlas fitting with a feed-forward anatomy estimator trained on brain MRI segmentation labels.","Benchmark accuracy separately on healthy brains, atrophy, lesions, motion, and anisotropic scans because failure modes differ from atlas methods.","The multi-view ensemble injects orthogonal-plane context and aggregates logits before hardening, which is a standard robustness pattern in volumetric CV.","This stage is the computational bottleneck and the main GPU/CPU scheduling concern.","Conceptually this replaces a generative posterior optimization with a discriminative approximation to the same anatomical labeling objective.","The output still lacks calibrated uncertainty; the later argmax yields a point estimate without confidence intervals.","For each plane: Inference.run(init_pred, image_name, orig_in_lia, _zoom_in_lia, out=pred_prob) invoked in RunModelOnData.get_prediction; Inference.setup_model->build_model->load_checkpoint","FastSurfer/FastSurferCNN/inference.py:Inference.run, FastSurfer/FastSurferCNN/data_loader/dataset.py:MultiScaleOrigDataThickSlices, FastSurfer/FastSurferCNN/models/networks.py:build_model","Inference.run(init_pred:torch.Tensor,img_filename:str,orig_data:np.ndarray,orig_zoom:np.ndarray,out:torch.Tensor|None)->torch.Tensor; MultiScaleOrigDataThickSlices(orig_data,orig_zoom,cfg)->Dataset","orig_data: 3D numpy ndarray (values>0.8 max checked); orig_zoom: 3-element voxel sizes in mm; init_pred: torch tensor shape (X,Y,Z,num_classes) dtype float16 on viewagg_device; model cfg defines patch/pad sizes","mri_em_register, mri_ca_normalize, mri_ca_register, mri_ca_label invoked by recon-all to register and label volumes (atlas-based)","Inputs: nu.mgz/brain.mgz, atlas (.gca), xform (.lta); outputs: norm.mgh, talairach.m3d, label volumes; input must be conform and brain-extracted for best results","Intermediate anatomical evidence volume","Downstream harmonized label Dice","Runtime; regional Dice after labeling; calibration surrogate on FastSurfer only; transform residuals on FreeSurfer side","Raw logits are not directly comparable to atlas posteriors, so evaluate both after conversion to common subject-space labels on the same voxel grid","Domain shift; poor contrast; anisotropy; atlas misregistration; GPU precision differences","P0","run_prediction.py does not perform Talairach registration or explicit mri_ca_normalize-style intensity correction internally."
5,"Take argmax and map prediction back to native orientation","FastSurfer/FastSurferCNN/run_prediction.py:390-394","Hard label tensor in native image space","Implicit hard labeling emitted by atlas-based FreeSurfer stages","freesurfer/scripts/recon-all:3018-3052","aseg.auto_noCCseg.mgz in subject space","partial analogue","FreeSurfer reaches the same kind of hard label volume, but without an explicit argmax-visible step in the driver script.","For downstream neuroanatomical review, this is the first subject-space discrete segmentation that can be visually QC'd directly.","Validate that native-space labels still align with the conformed anatomy after inverse orientation restoration.","This is the hardening step from soft evidence to a single winning class per voxel.","It marks the transition from transient tensors to persistent segmentation artifacts.","This is a maximum-a-posteriori style decision rule applied after evidence aggregation.","Hardening discards probability mass information, so downstream QC needs separate heuristics to catch low-confidence failures.","pred_classes = torch.argmax(pred_prob,3); pred_classes = native_to_lia.inverse(pred_classes,order=0); pred_classes = du.map_label2aparc_aseg(pred_classes,self.labels); pred_classes = du.split_cortex_labels(pred_classes.cpu().numpy())","FastSurfer/FastSurferCNN/run_prediction.py:get_prediction; FastSurfer/FastSurferCNN/data_loader/data_utils.py:map_label2aparc_aseg,split_cortex_labels; FastSurfer/FastSurferCNN/data_loader/conform.py:Reorientation","torch.argmax(tensor,dim)->tensor; Reorientation.inverse(tensor,order)->tensor; map_label2aparc_aseg(mapped_aseg:torch.Tensor,labels:torch.Tensor)->torch.Tensor; split_cortex_labels(aparc:np.ndarray)->np.ndarray","Input: pred_prob torch tensor float16 shape (X,Y,Z,num_classes); mapping labels tensor self.labels holds FS label IDs; split_cortex_labels expects numpy int array","mri_ca_label and subsequent operations produce labels (no explicit argmax CLI; algorithm emits labels directly)","mri_ca_label inputs: normalized volumes, xform, gca atlas; may require mask and wm segmentation; outputs labeled vol in mgh/mgz format","Subject-space hard label volume","Multiclass Dice","95th percentile Hausdorff distance; average symmetric surface distance; voxel accuracy; label-wise precision and recall","Map both outputs to the same FreeSurfer label IDs and resample with nearest-neighbor interpolation into one subject grid before overlap metrics","Orientation inversion; label collapse mismatch; jagged boundaries; tie-breaking instability","P0","The nearest FreeSurfer analogue is distributed across several commands rather than represented as one explicit argmax operation."
6,"Map internal class indices to FreeSurfer label IDs","FastSurfer/FastSurferCNN/run_prediction.py:395-397","FreeSurfer-compatible integer label space","Label identity emission by FreeSurfer segmentation and cortical-volume mapping","freesurfer/scripts/recon-all:3018-3052; freesurfer/mri_aparc2aseg/mri_aparc2aseg.help.xml:26-85","aseg IDs plus aparc+aseg cortical IDs","partial analogue","The semantic target space is aligned to FreeSurfer so downstream tooling can consume the labels.","This matters clinically and anatomically because label identity, not just shape, determines region-wise volumetric summaries.","Regression tests should compare label vocabularies and LUT consistency, not only voxel overlap.","FastSurfer separates model-class indexing from external ontology mapping, which is a safer CV design.","This is a schema-mapping step from model-native classes to an external interoperable standard.","It decouples representation learning from downstream analysis conventions.","Ontology mapping is deterministic; statistical error comes from upstream classification, not from the lookup itself.","du.read_classes_from_lut(lut); infer_mapping_from_lut(num_classes,lut); du.map_label2aparc_aseg(mapped_aseg,labels)","FastSurfer/FastSurferCNN/data_loader/data_utils.py:read_classes_from_lut,infer_mapping_from_lut,map_label2aparc_aseg; RunModelOnData.__init__","read_classes_from_lut(lut_path)->DataFrame; infer_mapping_from_lut(num_classes,lut)->np.ndarray; map_label2aparc_aseg(mapped_aseg:torch.Tensor,labels)->torch.Tensor","LUT file path (txt/csv) with columns ID, LabelName, R,G,B,A; labels array must include all label IDs used by model; expected integer IDs","FreeSurfer constructs label IDs via mri_* tools and relies on FreeSurferColorLUT.txt","FreeSurferColorLUT.txt format: ID LabelName R G B A (located in $FREESURFER_HOME)","Label ontology mapping plus mapped volume","Label vocabulary parity","Unmapped label count; duplicate ID count; per-label frequency delta; LUT checksum parity","Normalize both outputs to one FreeSurferColorLUT version before any region-wise metric or confusion matrix","Stale LUT; missing IDs; duplicate IDs; class-index drift","P1","FreeSurfer produces the same label IDs through separate subcortical and cortical-volume stages rather than one explicit remap call."
7,"Split cortical labels into left and right DKT cortical labels","FastSurfer/FastSurferCNN/run_prediction.py:398-398","Hemisphere-specific cortical parcel IDs in the full prediction volume","Surface-to-volume cortical parcellation transfer","freesurfer/mri_aparc2aseg/mri_aparc2aseg.help.xml:26-85","mri/aparc+aseg.mgz","partial analogue","This row is where FastSurfer starts to resemble FreeSurfer's later surface-derived volumetric parcellation rather than its earlier aseg-only segmentation.","Hemisphere-specific cortical labeling is necessary for anatomically meaningful lobar and regional cortical summaries.","Check for left-right parcel leakage and sulcal-bank speckling when validating cortical labels.","FastSurfer predicts cortical parcels volumetrically, whereas FreeSurfer derives them from surfaces and then projects them back to volume.","This is the first point where the artifact semantics move beyond subcortical aseg into full aparc+aseg territory.","It compresses a later downstream FreeSurfer transformation into the immediate segmentation path.","Cortical parcel volumes here are voxelized estimates and should not be treated as equivalent to surface-native cortical area or thickness measurements.","du.split_cortex_labels(pred_classes.cpu().numpy()); fuse_cortex_labels/clean_cortex_labels used for lateralization and cleanup","FastSurfer/FastSurferCNN/data_loader/data_utils.py:split_cortex_labels,fuse_cortex_labels,clean_cortex_labels","split_cortex_labels(aparc:np.ndarray)->np.ndarray; fuse_cortex_labels(aparc:np.ndarray)->np.ndarray","Input: aparc array with cortical labels (>=2000), dtype int; relies on connected component heuristics for WM masks","Surface processing + mri_aparc2aseg produce cortical labels in FreeSurfer (surface-driven), recon-all projects annot->aparc+aseg","Requires surface files (.white,.pial), annot files, and successful surface recon (recon-all)","Hemisphere-specific cortical parcel volume","Parcel-wise Dice","Left-right parcel swap count; regional volume error; boundary F1","Restrict comparison to cortical labels, normalize parcel IDs, and resample with nearest-neighbor interpolation into the same subject voxel grid","Parcel leakage; hemisphere swap; sulcal speckle; surface-to-volume projection mismatch","P0","This is only a partial analogue because FreeSurfer's cortical labels are generated after surface reconstruction, not inside its early volumetric stream."
8,"Save the full FastSurfer prediction volume","FastSurfer/FastSurferCNN/run_prediction.py:664-669; FastSurfer/run_fastsurfer.sh:1069-1088","subject.segfile, typically aparc.DKTatlas+aseg.deep.mgz when called from run_fastsurfer.sh","Save FreeSurfer volumetric cortical-plus-subcortical labeling","freesurfer/mri_aparc2aseg/mri_aparc2aseg.help.xml:26-85","mri/aparc+aseg.mgz","partial analogue","The closest FreeSurfer artifact is aparc+aseg.mgz, but FreeSurfer reaches it later and via surfaces.","Both artifacts are used for neuroanatomical region-level summaries, but they are not produced by identical mechanisms.","File-level regression tests should compare headers, label ranges, and downstream tool compatibility, not just file existence.","FastSurfer emits a volumetric DKT-style parcellation directly from a CNN.","This is the main durable handoff artifact for downstream segmentation consumers.","It exposes the end-product used for many summary-statistics workflows.","Direct numeric comparison with FreeSurfer aparc+aseg should acknowledge different generative paths and possible systematic biases.","eval.async_save_img(subject.segfile,pred_data,orig_img,dtype=np.int16) -> du.save_image(header,affine,img_array,save_as,dtype)","FastSurfer/FastSurferCNN/run_prediction.py:async_save_img,save_img; FastSurfer/FastSurferCNN/data_loader/data_utils.py:save_image","async_save_img(save_as,data,orig,dtype)->Future; save_image(header,affine,img_array,save_as,dtype)->None","pred_data numpy ndarray or torch tensor with integer label IDs; orig_img nibabelImage for header/affine; output path must be .mgz/.nii/.nii.gz","mri_aparc2aseg writes aparc+aseg.mgz from surfaces and aseg","Requires surface outputs and aseg for projection; outputs mgh/mgz file with cortical+subcortical labels","Final aparc+aseg-style artifact","Region-wise volume correlation","Multiclass Dice; header compatibility; downstream tool pass rate; file size parity","Compare after nearest-neighbor resampling to one subject grid and one label ontology, while validating headers separately from voxel content","Header incompatibility; wrong dtype; missing labels; corpus-callosum treatment mismatch","P0","FastSurfer's full prediction is generated before corpus callosum inpainting, which is handled later by a separate module in the wrapper script."
9,"Create brainmask from segmentation using dilation, erosion, and largest-component selection","FastSurfer/FastSurferCNN/run_prediction.py:677-685; FastSurfer/FastSurferCNN/reduce_to_aseg.py:101-159","Binary brain mask derived from predicted labels","Skull stripping and brainmask creation","freesurfer/scripts/recon-all:2397-2655","brainmask.auto.mgz and brainmask.mgz","partial analogue","The artifact matches conceptually, but the causality is reversed: FreeSurfer builds the mask to help segmentation, FastSurfer builds the mask from segmentation.","This is a brain-extraction step used to exclude non-brain tissue from morphometric summaries and later surface processing.","This row needs edge-case QA on orbital frontal regions, dura, neck remnants, and largest-component failures.","FastSurfer uses morphology on semantic labels instead of intensity-driven skull stripping such as watershed.","This is a derivative artifact with explicit morphological post-processing logic and connected-component filtering.","It converts dense anatomical labels into a coarser support mask for later modules and stats.","Morphological hyperparameters induce systematic boundary bias; they should be treated as fixed algorithmic choices, not random variation.","bm = rta.create_mask(pred_data,5,4); eval.async_save_img(mask_name,bm,orig_img,dtype=np.uint8)","FastSurfer/FastSurferCNN/reduce_to_aseg.py:create_mask,create_mask_and_save; run_prediction.py: where invoked","create_mask(aseg_data,dnum,enum)->np.ndarray(uint8); create_mask_and_save(seg,affine,header,filename)->np.ndarray","Input: segmentation ndarray; dilation iterations dnum (int), erosion iterations enum (int); returns binary mask uint8 same shape as seg","mri_watershed [opts] INVOL.mgz brainmask.auto.mgz; mri_mask T1.mgz mask.mgz $OUT","Input: T1/nu/orig volumes; preflood heights control watershed behavior; output binary mask mgz","Binary brain mask","Brain-mask Dice","95th percentile Hausdorff distance; sensitivity; specificity; intracranial volume delta","Binarize both masks and compare on the same conformed voxel grid, keeping morphology-derived versus intensity-derived provenance separate in analysis","Neck inclusion; dura retention; frontal clipping; largest-component failure","P0","The timing differs materially from FreeSurfer because brainmask.mgz is an early prerequisite there but a post-hoc derivative here."
10,"Reduce full aparc+aseg prediction to aseg.auto_noCCseg-style labels","FastSurfer/FastSurferCNN/run_prediction.py:694-700; FastSurfer/FastSurferCNN/reduce_to_aseg.py:91-99","aseg without cortical parcel IDs and without CC segmentation","Subcortical labeling output","freesurfer/scripts/recon-all:3018-3052","aseg.auto_noCCseg.mgz","exact analogue","This is the clearest artifact-level match on the FreeSurfer side: both rows produce the pre-CC aseg volume.","The reduced aseg is the conventional subcortical tissue map used by many downstream neuroimaging tools.","Validate that cortical parcel IDs are fully collapsed to 3 and 42 and that mask application does not erase valid deep structures.","FastSurfer first predicts the richer label space, then deterministically collapses it to aseg semantics.","This is a format-reduction step that broadens compatibility with older FreeSurfer downstream tools.","It preserves the subcortical decision while intentionally discarding finer cortical categorical detail.","The reduction itself is deterministic; disagreement with FreeSurfer here comes from the earlier full-label prediction, not the collapse rule.","aseg = rta.reduce_to_aseg(pred_data)","FastSurfer/FastSurferCNN/reduce_to_aseg.py:reduce_to_aseg","reduce_to_aseg(data_inseg:np.ndarray)->np.ndarray; maps cortical labels >=2000 to cortical_fill 3/42","Input: full aparc+aseg ndarray; outputs aseg ndarray with cortical collapsed to 3/42","mri_aparc2aseg / recon-all step producing aseg.auto_noCCseg.mgz","Input: aparc+aseg or surface-derived labels; outputs aseg in mgz format with integer labels (uint8)","Pre-CC aseg volume","Subcortical Dice","Label-wise volume error; key-structure 95th percentile Hausdorff distance; confusion matrix","Collapse both outputs to the same aseg label vocabulary and resample with nearest-neighbor interpolation to a single subject grid","Incorrect cortical collapse; deep nuclei erosion; CC leakage; label-remap mismatch","P0","FastSurfer defaults can save this artifact under a caller-provided path; run_fastsurfer.sh normally uses aseg.auto_noCCseg.mgz."
